ticker,date,TotalDebt_x,TotalDebt_y,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow
HPQ,2019-10-31,5137000000.0,5137000000.0,6031000000.0,3983000000,-4845000000,4654000000
HPQ,2020-10-31,7396000000.0,7396000000.0,5381000000.0,3736000000,-2973000000,4316000000
HPQ,2021-10-31,8778000000.0,8778000000.0,5511000000.0,5827000000,-5962000000,6409000000
HUN,2018-12-31,2320000000.0,2320000000.0,1272000000.0,894000000,-424000000,1207000000
HUN,2019-12-31,2815000000.0,2815000000.0,953000000.0,623000000,-450000000,897000000
HUN,2020-12-31,2584000000.0,2584000000.0,910000000.0,4000000,-655000000,253000000
HUN,2021-12-31,1971000000.0,1971000000.0,1186000000.0,610000000,-977000000,952000000
IBM,2018-12-31,45812000000.0,45812000000.0,7432000000.0,11283000000,-10469000000,15247000000
IBM,2019-12-31,68158000000.0,68158000000.0,7870000000.0,11863000000,9042000000,14770000000
IBM,2020-12-31,66469000000.0,66469000000.0,7132000000.0,14967000000,-9721000000,18197000000
IBM,2021-12-31,55139000000.0,55139000000.0,6754000000.0,10028000000,-13354000000,12796000000
IMO,2018-12-31,5180000000.0,5180000000.0,2529000000.0,2431000000,-2570000000,3922000000
IMO,2019-12-31,5333000000.0,5333000000.0,2699000000.0,2793000000,-1995000000,4429000000
IMO,2020-12-31,5279000000.0,5279000000.0,1919000000.0,-70000000,-943000000,798000000
IMO,2021-12-31,5323000000.0,5323000000.0,3869000000.0,4368000000,-3082000000,5476000000
INTC,2018-12-31,26359000000.0,26359000000.0,6722000000.0,14251000000,-18607000000,29432000000
INTC,2019-12-31,29001000000.0,29001000000.0,7659000000.0,16932000000,-17565000000,33145000000
INTC,2020-12-31,36401000000.0,36401000000.0,6782000000.0,20931000000,-12917000000,35384000000
INTC,2021-12-31,38101000000.0,38101000000.0,9457000000.0,9662000000,-5862000000,29991000000
IR,2018-12-31,1672100000.0,1672100000.0,525400000.0,392300000,-373000000,444500000
IR,2019-12-31,1628500000.0,1628500000.0,459100000.0,300100000,-11500000,343300000
IR,2020-12-31,3956900000.0,3956900000.0,966600000.0,865600000,328700000,914300000
IR,2021-12-31,3475500000.0,3475500000.0,948600000.0,551400000,-1157000000,615500000
ITT,2018-12-31,116200000.0,116200000.0,531700000.0,276300000,-128800000,371800000
ITT,2019-12-31,182400000.0,182400000.0,562300000.0,266300000,-101500000,357700000
ITT,2020-12-31,212000000.0,212000000.0,492500000.0,372200000,-158600000,435900000
ITT,2021-12-31,291600000.0,291600000.0,530400000.0,-96000000,-99800000,-7600000
ITW,2018-12-31,7380000000.0,7380000000.0,2622000000.0,2447000000,-3964000000,2811000000
ITW,2019-12-31,7937000000.0,7937000000.0,2461000000.0,2669000000,-2326000000,2995000000
ITW,2020-12-31,8310000000.0,8310000000.0,2506000000.0,2571000000,-2049000000,2807000000
ITW,2021-12-31,7881000000.0,7881000000.0,2840000000.0,2261000000,-2564000000,2557000000
JBL,2018-08-31,2518699000.0,2518699000.0,1693268000.0,-102801000,-47044000,933850000
JBL,2019-08-31,2496465000.0,2496465000.0,2745226000.0,187586000,-415772000,1193066000
JBL,2020-08-31,3141240000.0,3141240000.0,2847743000.0,274240000,-65123000,1257275000
JBL,2021-08-31,3319000000.0,3319000000.0,3141000000.0,274000000,-413000000,1433000000
JCI,2018-09-30,10995000000.0,10995000000.0,7065000000.0,1483000000,-3752000000,2513000000
JCI,2019-09-30,7219000000.0,7219000000.0,5770000000.0,616000000,-10554000000,1202000000
JCI,2020-09-30,7819000000.0,7819000000.0,5294000000.0,1776000000,-2937000000,2219000000
JCI,2021-09-30,7740000000.0,7740000000.0,5613000000.0,1935000000,-2131000000,2487000000
JNJ,2018-12-31,30480000000.0,30480000000.0,14098000000.0,18531000000,-18510000000,22201000000
JNJ,2019-12-31,27696000000.0,27696000000.0,14481000000.0,19918000000,-18015000000,23416000000
JNJ,2020-12-31,35266000000.0,35266000000.0,13576000000.0,20189000000,-6120000000,23536000000
JNJ,2021-12-31,33751000000.0,33751000000.0,15283000000.0,19758000000,-14047000000,23410000000
JNPR,2018-12-31,2139000000.0,2139000000.0,754600000.0,713700000,-968600000,861100000
JNPR,2019-12-31,1842000000.0,1842000000.0,879700000.0,419300000,-1228800000,528900000
JNPR,2020-12-31,2290800000.0,2290800000.0,964100000.0,511600000,-222400000,612000000
JNPR,2021-12-31,1829000000.0,1829000000.0,994400000.0,589700000,-1131700000,689700000
KHC,2018-12-31,31168000000.0,31168000000.0,2129000000.0,1748000000,-3363000000,2574000000
KHC,2019-12-31,29244000000.0,29244000000.0,1973000000.0,2784000000,-3913000000,3552000000
KHC,2020-12-31,28306000000.0,28306000000.0,2063000000.0,4333000000,-3331000000,4929000000
KHC,2021-12-31,21815000000.0,21815000000.0,1957000000.0,4459000000,-9344000000,5364000000
KLAC,2018-06-30,2237402000.0,2237402000.0,651678000.0,1162159000,-1270103000,1229120000
KLAC,2019-06-30,3423382000.0,3423382000.0,990113000.0,1022134000,-360005000,1152632000
KLAC,2020-06-30,3569549000.0,3569549000.0,1107413000.0,1626175000,-1299635000,1778850000
KLAC,2021-06-30,3545828000.0,3545828000.0,1305479000.0,1953398000,-1497881000,2185026000
KMB,2018-12-31,7455000000.0,7455000000.0,2050000000.0,2093000000,-2115000000,2970000000
KMB,2019-12-31,7877000000.0,7877000000.0,2131000000.0,1527000000,-1792000000,2736000000
KMB,2020-12-31,8497000000.0,8497000000.0,2132000000.0,2512000000,-1567000000,3729000000
KMB,2021-12-31,8704000000.0,8704000000.0,2092000000.0,1723000000,-1696000000,2730000000
KO,2018-12-31,43555000000.0,43555000000.0,3396000000.0,6280000000,-10347000000,7627000000
KO,2019-12-31,42763000000.0,42763000000.0,3971000000.0,8417000000,-9004000000,10471000000
KO,2020-12-31,42793000000.0,42793000000.0,3144000000.0,8667000000,-8070000000,9844000000
KO,2021-12-31,42761000000.0,42761000000.0,3512000000.0,11258000000,-6786000000,12625000000
LEA,2018-12-31,1963800000.0,1963800000.0,2880300000.0,1102800000,-1030500000,1779800000
LEA,2019-12-31,2440900000.0,2440900000.0,2982600000.0,680400000,-361900000,1284300000
